Date,DISCHARGE,ReviewStatus,Qualifiers,Qualified,Active Flags,FLAG_LESS_THAN_Min._Value,FLAG_ZERO,FLAG_REPEATED,FLAG_GREATER_THAN_MaxValue,UNUSUAL_SPIKE,FLAG_BELOW_CAPACITY,FLAGGED
2025-03-29,15.43,Raw,,No,None,False,False,False,False,False,False,False
2025-03-30,15.48,Raw,,No,None,False,False,False,False,False,False,False
2025-03-31,15.51,Raw,,No,None,False,False,False,False,False,False,False
2025-04-01,15.51,Raw,,No,None,False,False,False,False,False,False,False
2025-04-02,15.51,Raw,,No,None,False,False,False,False,False,False,False
2025-04-03,15.56,Raw,,No,None,False,False,False,False,False,False,False
2025-04-04,15.57,Raw,,No,None,False,False,False,False,False,False,False
2025-04-05,15.56,Raw,,No,None,False,False,False,False,False,False,False
2025-04-06,15.56,Raw,,No,None,False,False,False,False,False,False,False
2025-04-07,15.5,Raw,,No,None,False,False,False,False,False,False,False
2025-04-08,15.49,Raw,,No,None,False,False,False,False,False,False,False
2025-04-09,15.44,Raw,,No,None,False,False,False,False,False,False,False
2025-04-10,15.41,Raw,,No,None,False,False,False,False,False,False,False
2025-04-11,15.39,Raw,,No,None,False,False,False,False,False,False,False
2025-04-12,17.76,Raw,,No,None,False,False,False,False,False,False,False
2025-04-13,21.25,Raw,,No,None,False,False,False,False,False,False,False
2025-04-14,21.09,Raw,,No,None,False,False,False,False,False,False,False
2025-04-15,23.52,Raw,,No,None,False,False,False,False,False,False,False
2025-04-16,34.53,Raw,,No,None,False,False,False,False,False,False,False
2025-04-17,40.91,Raw,,No,None,False,False,False,False,False,False,False
2025-04-18,29.08,Raw,,No,None,False,False,False,False,False,False,False
2025-04-19,45.67,Raw,,No,None,False,False,False,False,False,False,False
2025-04-20,39.74,Raw,,No,None,False,False,False,False,False,False,False
2025-04-21,39.6,Raw,,No,None,False,False,False,False,False,False,False
2025-04-22,44.67,Raw,,No,None,False,False,False,False,False,False,False
2025-04-23,62.61,Raw,,No,Spike,False,False,False,False,True,False,True
2025-04-24,76.41,Raw,,No,None,False,False,False,False,False,False,False
2025-04-25,76.42,Raw,,No,None,False,False,False,False,False,False,False
2025-04-26,76.42,Raw,,No,None,False,False,False,False,False,False,False
2025-04-27,76.42,Raw,,No,None,False,False,False,False,False,False,False
2025-04-28,59.72,Raw,,No,None,False,False,False,False,False,False,False
