SiteID,Below_Capacity,Over_Capacity,Min_IQR_Upper_Bound_Value,Max_Value_95Perc,Average_Rate_Of_Change,Unusual_Change_90th_Perc.,MaxRoC,Unusual_Spike,Repeated_values,Unnamed: 10
6,0.0,137.0,179.5,137.0,3.09359816,14.0,118.0,14.0,4,
18,0.0,8.8,9.711710179,8.8,0.229075163,1.026489365,8.5,1.026489365,4,
19,0.0,57.0,70.34586627,57.0,1.959917261,8.0,82.2,8.0,4,
21,0.0,30.06759103,41.0,30.06759103,2.025168731,7.536007047,158.2764296,7.536007047,4,
26,0.0,30.3,38.12146875,30.3,1.030683955,4.5505,60.0,4.5505,4,
29,0.0,144.0,203.5,144.0,4.33877335,18.12217375,945.0,18.12217375,4,
30,0.0,88.0,128.2208325,88.0,2.529913373,12.0,706.0,12.0,4,
33,0.0,3.8,3.812,3.8,0.157577042,1.0,8.0,1.0,4,
35,0.0,4.5,5.85,4.5,0.197514233,1.230247505,5.5,1.230247505,4,
36,0.0,2.8,3.0,2.8,0.130426442,0.8,5.19,0.8,4,
56,0.0,102.0,134.7352665,102.0,2.658365876,11.0,85.5,11.0,4,
73,0.0,200.0,302.0,200.0,4.773572427,17.5,20156.66797,17.5,4,
87,0.0,15.62917,23.229175,15.62917,0.513582017,3.0,20.16666,3.0,4,
91,0.0,131.58749,215.056255,131.58749,1.906461267,9.1649935,140.79999,9.1649935,4,
99,0.0,8.6,11.0,8.6,0.459101734,3.025,21.175,3.025,4,
101,0.0,42.25,42.25,49.4,1.73009377,8.6,164.9,8.6,4,
103,0.0,83.60001,116.15,83.60001,2.344793106,11.738,163.99,11.738,4,
113,0.0,10.895,10.895,10.9,0.217883686,1.2,16.0,1.2,4,
115,0.0,4.0,5.25,4.0,0.176884192,1.0008,7.189,1.0008,4,
122,0.0,151481.4,192733.0,151481.4,500.0973129,946.0,144126.05,946.0,4,
181,0.0,3.0,5.25,3.0,0.137990704,1.100062158,3.0,1.100062158,4,
248,0.0,20.16666671,27.6125,20.16666671,0.318357709,1.6,57.0,1.6,4,
250,0.0,43.0,56.95,43.0,0.741626452,5.0,53.9,5.0,4,
251,0.0,33.0,40.0,33.0,0.485838436,2.26,33.275,2.26,4,
268,0.0,8.775,8.775,12.46,1.98846417,1.5905,273.25836,1.5905,4,
270,0.0,7.195,7.195,9.0,1.88160866,1.7,204.69202,1.7,4,
368,0.0,11.9,14.2375,11.9,0.210537189,0.8,39.93000076,0.8,4,
434,0.0,160.0,207.76165,160.0,2.901762962,16.13333337,600.0,16.13333337,4,
472,0.0,16.0,22.5,16.0,0.413077337,2.0,21.0,2.0,4,
481,0.0,165343.0,192752.0,165343.0,540.3865904,675.0,712285.0,675.0,4,
492,0.0,5.0,5.25,5.0,0.224825275,1.5,8.0,1.5,4,
494,0.0,439.1812496,439.1812496,1000.616004,26.21089065,145.0,1901.60001,145.0,4,
500,0.0,60970.0,80910.0,60970.0,511.1467952,680.0,61080.0,680.0,4,
501,0.0,333.025,333.025,455.8,8.694318765,41.575,12299.8,41.575,4,
509,0.0,49.0,49.5,49.0,1.043677539,4.87975,64.0,4.87975,4,
510,0.0,58.0,67.0,58.0,1.719022482,8.0,72.0,8.0,4,
512,0.0,33.0,36.0,33.0,0.705802749,3.0,50.0,3.0,4,
513,0.0,32.0,35.49375,32.0,1.083544401,5.243913043,74.82,5.243913043,4,
516,0.0,151.0,213.4184783,151.0,4.204717952,17.0,800.0,17.0,4,
518,0.0,269.7291673,356.2,269.7291673,6.457430741,30.25000007,4840.000011,30.25000007,4,
522,0.0,67.0,88.92880435,67.0,1.745912358,9.045576087,288.0,9.045576087,4,
525,0.0,272.0,357.25,272.0,8.600825967,33.0,329.0,33.0,4,
526,0.0,174.0,246.2632691,174.0,6.89822911,24.9745,220.0,24.9745,4,
528,0.0,78.0,98.0,78.0,3.225411661,13.0,84.0,13.0,4,
